trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1181,False,"{'a': 0.5, 'e': 0.3809248243668818}",20,0,-118.53846692884602,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
1182,False,"{'a': 0.5, 'e': 0.3800000280461784}",20,0,25.720212864686246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1183,False,"{'a': 0.5, 'e': 0.3790748517254788}",30,0,-78.2709093157452,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
1184,False,"{'a': 0.5, 'e': 0.3781492963299588}",20,0,-0.13401822107407346,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1185,False,"{'a': 0.5, 'e': 0.37722336278517427}",20,7,-22.050337494436548,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
1186,False,"{'a': 0.5, 'e': 0.3762970520170581}",25,2,-11.547029248683069,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
1187,False,"{'a': 0.5, 'e': 0.37537036495192155}",20,0,-41.89917185965394,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1188,False,"{'a': 0.5, 'e': 0.3744433025164511}",20,7,7.438704673685624,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
1189,False,"{'a': 0.5, 'e': 0.37351586563770955}",20,12,-38.38146819550397,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
1190,False,"{'a': 0.5, 'e': 0.37258805524313326}",25,13,-24.145290791913123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1191,False,"{'a': 0.5, 'e': 0.371659872260533}",25,10,10.856994204629608,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1192,False,"{'a': 0.5, 'e': 0.3707313176180912}",25,0,-74.35347718864881,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
1193,False,"{'a': 0.5, 'e': 0.36980239224436295}",20,0,-6.049646672978364,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1194,False,"{'a': 0.5, 'e': 0.36887309706827304}",20,0,-42.306854808199,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1195,False,"{'a': 0.5, 'e': 0.36794343301911697}",25,7,-50.259197497464534,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
1196,False,"{'a': 0.5, 'e': 0.3670134010265584}",30,11,-56.42755149783424,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
1197,False,"{'a': 0.5, 'e': 0.36608300202062954}",30,7,-0.4702853934040019,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
1198,False,"{'a': 0.5, 'e': 0.365152236931729}",30,22,15.168062967566252,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
